Year ,SL_no,Category,States_UT,Murder_with_Rape,Dowry_Deaths ,Abetment_to_Suicide_of_Women ,Miscarriage ,Acid_Attack,Attempt_to_Acid_Attack ,Cruelty_by_Husband_or_his_relatives,Kidnapping  ,Human_Trafficking ,Selling_of_Minor_Girls ,Buying_of_Minor_Girls ,Rape_Total,Rape_18yearsabove,Rape_18yearsbelow,Assault_on_Women_with_Intent_to_Outrage_her_Modesty ,Dowry_Prohibition_Act,Immoral_Traffic_Prevention_Act ,Cyber_Crimes,Protection_of_Children_from_Sexual_Violence_Act,Total_Crime_against_Women
2018,1,State,Andhra Pradesh,4,140,406,9,3,2,6831,697,67,0,0,971,468,503,4445,320,152,39,359,16438
2018,2,State,Arunachal Pradesh,0,0,2,0,0,0,60,87,0,0,1,67,38,29,103,0,0,0,23,368
2018,3,State,Assam,66,173,76,26,3,0,11136,6401,113,8,0,1648,1559,89,4180,1138,37,295,1717,27728
2018,4,State,Bihar,9,1107,4,20,6,0,2539,7951,3,0,0,651,647,4,262,2094,49,6,2079,16920
2018,5,State,Chhattisgarh,10,79,121,0,0,0,503,1842,18,2,1,2091,876,1215,1854,18,15,17,1803,8587
2018,6,State,Goa,1,0,2,0,0,0,9,78,49,0,0,61,27,34,125,0,7,3,1,362
2018,7,State,Gujarat,6,9,386,1,7,1,2923,1024,10,0,0,553,546,7,1208,2,34,22,2127,8329
2018,8,State,Haryana,26,216,205,11,0,2,4154,3419,13,0,0,1296,1294,2,2671,18,43,43,1839,14326
2018,9,State,Himachal Pradesh,7,4,74,1,0,0,183,341,0,0,0,344,153,191,513,1,10,33,25,1633
2018,10,State,Jammu & Kashmir,0,8,33,3,0,0,325,1061,0,0,0,320,283,37,1597,1,1,13,27,3437
2018,11,State,Jharkhand,7,252,36,2,0,1,1032,1018,41,0,5,1090,1021,69,1378,1224,9,8,613,7083
2018,12,State,Karnataka,16,200,348,12,2,0,2053,1240,16,1,0,492,489,3,5204,1568,179,48,1986,13514
2018,13,State,Kerala,1,17,37,1,4,0,2046,173,56,0,0,1945,808,1137,4544,3,4,68,867,10461
2018,14,State,Madhya Pradesh,46,547,584,25,5,1,4159,6126,33,9,1,5433,2603,2830,8790,77,40,57,2391,28942
2018,15,State,Maharashtra,17,200,881,10,5,0,6862,6825,208,4,0,2142,2142,0,10835,36,200,49,6135,35497
2018,16,State,Manipur,0,0,3,0,0,0,14,85,3,0,0,52,35,17,56,0,0,1,43,271
2018,17,State,Meghalaya,4,1,0,0,0,0,18,58,1,0,0,87,62,25,95,0,2,4,263,571
2018,18,State,Mizoram,1,0,0,0,0,0,6,1,0,0,0,50,27,23,67,0,0,0,122,249
2018,19,State,Nagaland,0,0,0,1,0,0,3,35,0,0,0,10,7,3,10,0,1,1,9,75
2018,20,State,Odisha,1,372,9,3,5,0,1984,2611,33,0,0,918,881,37,9973,1595,10,208,1886,20274
2018,21,State,Punjab,4,67,174,6,4,0,1470,1266,1,0,0,831,507,324,956,5,6,37,375,5302
2018,22,State,Rajasthan,6,404,153,9,1,1,12250,4247,4,0,0,4335,3305,1030,5249,5,62,27,449,27866
2018,23,State,Sikkim,0,1,0,0,0,0,1,7,1,0,0,16,12,4,23,0,0,1,116,172
2018,24,State,Tamil Nadu,4,55,244,2,2,3,789,896,14,0,0,331,325,6,814,206,386,29,2016,5822
2018,25,State,Telangana,6,186,445,8,10,5,6286,1121,73,1,0,606,606,0,4567,12,81,64,1640,16027
2018,26,State,Tripura,0,18,14,0,0,0,303,139,0,0,0,97,97,0,165,0,2,5,125,907
2018,27,State,Uttar Pradesh,41,2444,284,31,32,1,14233,15381,9,3,0,3946,2593,1353,12555,4371,27,99,5306,59445
2018,28,State,Uttarakhand,2,63,20,0,1,0,622,502,1,3,0,561,293,268,548,104,0,34,329,2817
2018,29,State,West Bengal,6,444,445,27,36,9,16951,4249,52,9,0,1069,1065,4,3399,7,97,13,2240,30394
2018,30,UT,A&N Islands,0,0,2,1,0,0,4,2,0,0,0,30,16,14,35,0,0,1,68,147
2018,31,UT,Chandigarh,0,6,3,0,0,1,93,139,0,0,0,86,33,53,100,1,0,0,1,442
2018,32,UT,D&N Haveli,0,0,1,0,0,0,1,0,0,0,0,7,7,0,6,0,0,0,21,38
2018,33,UT,Daman & Diu,0,0,0,0,0,0,4,0,0,0,0,3,2,1,5,0,0,0,3,16
2018,34,UT,Delhi,3,153,44,4,5,10,3416,3715,35,0,0,1215,1215,0,2705,15,1,18,1736,13640
2018,35,UT,Lakshadweep,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,6,11
2018,36,UT,Puducherry,0,0,1,0,0,0,8,14,0,0,0,0,0,0,60,5,4,0,56,166
